x	y	parcela
203113.00	7322427.00	O08
203130.00	7322437.00	O09
203148.00	7322448.00	O10
203165.00	7322458.00	O11
203182.00	7322468.00	O12
203199.00	7322479.00	O13
203216.00	7322489.00	O14
203233.00	7322499.00	O15
202987.00	7322327.00	P00
203004.00	7322337.00	P01
203021.00	7322348.00	P02
203038.00	7322358.00	P03
203055.00	7322368.00	P04
203072.00	7322379.00	P05
203089.00	7322389.00	P06
203107.00	7322399.00	P07
203124.00	7322410.00	P08
203141.00	7322420.00	P09
203158.00	7322430.00	P10
203175.00	7322441.00	P11
203192.00	7322451.00	P12
203209.00	7322462.00	P13
203226.00	7322472.00	P14
203244.00	7322482.00	P15
