col_parc	period	plot	site	x	y	seeds	seedsp	euterpe	sloanea	virola	seedl	seedlsp	seedl_NI	seedlsurv	eut.seedl	slo.seedl	vir.seedl	nivel	pH_H2O	pH_KCl	pH_Cacl2	MO	P	Na	K	Ca	Mg	Al	H+Al	SB	T	Vpct	mpct	vcs	cs	ms	fs	vfs	sandpct	siltpct	claypct	natclay	dens_gcm3	phi_r	phi_s	alfa	m	n	S
33	M	H9 	B	203056.44	7322557.99	8	7	0	0	0	8	6	NA	5	2	0	0	3	3.65	3.6	3.55	41	10.5	0.95	2.95	14.5	8.5	26.5	89.5	26.9	116.4	21	55	14	13	6.5	5	2	40.5	12.5	47	3	1.13	0.19	0.55	0.66	0.22	1.29	0.05
34	M	H11 	B	203103.06	7322557.12	13	6	0	0	0	8	8	NA	6	0	1	1	2	4.3	3.4	3.5	46	29	1.1	5	8	10	17	143	24.1	167.1	14	41	10	15	12	8	2	47	17	36	19	0.99	0.15	0.62	1.06	0.12	1.14	0.04
35	M	C13	B	203075.61	7322684.87	28	16	6	0	0	12	11	NA	10	2	0	0	4	3.85	3.7	3.7	26.5	8.5	0.7	2.95	20	7.5	21	92	31.15	123.15	21.5	49	15.5	14.5	6	6	1.5	43.5	15.5	41	9.5	1.13	0.16	0.56	0.75	0.19	1.24	0.05
36	M	C15	B	203125.12	7322696.9	32	6	25	0	0	25	3	NA	11	22	0	0	3	3.9	3.75	3.7	21	8.5	0.7	1.85	5.5	3.5	24	84.5	11.55	96.05	11	70	16	12.5	6	6	2.5	43	13.5	43.5	8.5	1.13	0.17	0.56	0.68	0.21	1.26	0.05
37	M	C0 	NB	202865.91	7322543.33	64	13	4	0	0	9	6	NA	8	2	0	0	5	3.9	3.85	3.8	31.5	7.5	0.65	2.2	12	5.5	27.5	98	20.35	118.35	15.5	61.5	11	13	9.5	9	2	44.5	19	36.5	4.5	1.13	0.13	0.57	0.7	0.17	1.21	0.05
38	M	F0	B	202891.27	7322493.17	50	7	0	0	0	9	8	NA	9	2	0	1	2	4.1	3.95	4	51	11.5	1.35	2.7	23.5	9.5	10	58	37.05	95.05	34.5	29	24	16.5	9	9	2.5	61	10.5	28.5	11	1.13	0.15	0.55	1.25	0.11	1.12	0.03
39	M	F1	B	202906.84	7322504.91	37	9	1	0	0	7	5	NA	7	0	0	0	3	3.8	3.75	3.7	56.5	9.5	1.15	2.8	8	4	26	86.5	15.95	102.45	15	64	18	14.5	8	9.5	3.5	53.5	8.5	38	6	1.13	0.18	0.55	0.94	0.17	1.21	0.04
40	M	G0	B	202894.84	7322480.49	47	13	8	0	0	7	4	NA	7	4	0	0	2	4	3.75	3.7	39.5	16.5	1.55	4.5	19.5	11	19.5	91.5	36.55	128.05	21.5	51.5	11	10	8	9	3	41	16	43	6.5	1.13	0.16	0.57	0.63	0.2	1.25	0.05
41	M	H1	B	202932.26	7322475.4	17	6	1	0	0	5	1	NA	4	5	0	0	3	3.85	3.8	3.7	37	12.5	0.9	4.25	9.5	5.5	16.5	78.5	20.15	98.65	19.5	46.5	15.5	15.5	9.5	10	3	53.5	15.5	31	4	1.13	0.14	0.57	0.93	0.13	1.15	0.04
42	M	H1	B	202935.91	7322468.38	12	7	0	0	0	1	1	NA	1	0	0	0	3	4.15	3.85	3.95	32	10.5	0.95	4.9	29	11.5	12	107	46.35	153.35	27	28.5	14	10.5	13	13	4.5	55	16	29	6	1.13	0.13	0.58	0.85	0.13	1.15	0.04
43	M	I1	B	202929.99	7322457.68	51	10	1	0	0	1	1	NA	1	0	0	0	2	4.15	3.85	3.95	32	10.5	0.95	4.9	29	11.5	12	107	46.35	153.35	27	28.5	14	10.5	13	13	4.5	55	16	29	6	1.13	0.13	0.58	0.85	0.13	1.15	0.04
44	M	D3	NB	202914.76	7322565.3	128	14	2	20	0	3	3	NA	3	0	0	0	1	3.85	3.7	3.65	42	15	1.1	2.65	8	7	28	130.5	18.75	149.25	11	64.5	11	12.5	11.5	11	3.5	49.5	16.5	34	6.5	1.13	0.14	0.57	0.78	0.15	1.18	0.04
45	M	E4	NB	202945.99	7322559.63	71	14	19	0	0	3	3	NA	2	1	0	0	2	3.85	3.85	3.85	37.5	6	0.4	1.75	3	2	21	70.5	7.15	77.65	8.5	76.5	16.5	18.5	9.5	9.5	3	57	12	31	4	1.13	0.15	0.56	1.03	0.13	1.15	0.04
46	M	F4	NB	202953.28	7322536.35	69	14	4	0	0	4	4	NA	4	0	0	0	2	3.95	3.75	3.7	47.5	8.5	0.75	1.95	7.5	5	24.5	78	15.2	93.2	14.5	64.5	19	20	9.5	9.5	3.5	61.5	10	28.5	7	1.13	0.15	0.55	1.2	0.12	1.14	0.03
47	M	H3	B	202956.62	7322501.21	12	5	0	0	0	4	4	NA	4	1	0	0	2	3.7	3.8	3.7	30.5	7.5	0.5	1.35	5.5	3.5	22	73	10.85	83.85	12	69	19	14.5	9	9.5	3.5	55.5	11	33.5	4	1.13	0.16	0.56	0.95	0.15	1.17	0.04
48	M	G2	B	202940.25	7322510.14	480	14	3	0	0	4	4	NA	4	1	0	0	3	3.8	3.6	3.55	51	25	1.15	4.6	18	12	29.5	132.5	35.75	168.25	19	50.5	12	13	11	10	3	49	16.5	34.5	5.5	1.13	0.14	0.57	0.78	0.16	1.19	0.04
49	M	H0	B	202904.93	7322466.49	123	23	3	0	0	14	7	NA	9	6	0	1	3	3.8	3.6	3.55	55	19.5	1.5	5.25	24.5	14	20	66	45.25	111.25	39	38.5	13	11.5	9.5	13	3.5	50.5	17	32.5	3	1.13	0.13	0.57	0.78	0.15	1.18	0.05
50	M	K2	B	202977.81	7322432.47	68	10	1	0	0	6	2	NA	4	4	0	0	2	4.2	3.9	3.95	34.5	10.5	0.65	3.55	31	10	8.5	78	45.2	123.2	33.5	23	16.5	16.5	7.5	9	1.5	51	14.5	34.5	7.5	1.13	0.15	0.56	0.89	0.15	1.18	0.04
51	M	J1	NB	202952.8	7322434.42	90	15	4	0	0	4	2	NA	3	0	0	0	2	3.95	3.75	3.65	28	9.5	0.85	2.1	4.5	5	18.5	93	12.45	105.45	10.5	64.5	14.5	13.5	6	7	2.5	43.5	14	42.5	0	1.13	0.17	0.56	0.72	0.2	1.25	0.05
52	M	A6	NB	202938.3	7322647.04	24	9	0	0	0	0	0	NA	0	0	0	0	9	3.85	3.9	3.75	39.5	5	0.6	1.9	3	2	18	73.5	7.5	81	9	72.5	22.5	20	10	11	3	66.5	13.5	20	2	1.13	0.11	0.57	1.74	0.04	1.05	NA
53	M	A7	NB	202960.4	7322661.32	184	17	8	0	0	7	5	NA	6	3	0	0	8	3.8	3.75	3.6	40.5	11.5	0.7	1.65	6	1.5	20.5	90	9.85	99.85	9.5	69	20.5	17	7	9	3	56.5	14	29.5	2	1.13	0.14	0.56	1.07	0.12	1.14	0.03
54	M	B6	NB	202947.02	7322632.21	63	17	2	1	0	6	6	NA	6	0	0	0	7	3.85	3.85	3.7	42	8	0.35	1.85	4.5	2.5	22	90	9.2	99.2	8	74	14.5	18	9	11.5	3.5	56.5	13	30.5	3	1.13	0.14	0.57	0.96	0.13	1.16	0.04
55	M	B7	NB	202974.14	7322628.5	70	15	1	0	0	12	3	NA	11	0	0	0	9	3.85	3.8	3.75	44	12.5	0.55	1.9	6	2.5	24	86.5	10.95	97.45	10	72.5	17	15.5	10	12	4	58.5	16.5	25	1	1.13	0.12	0.58	1.02	0.1	1.12	0.03
56	M	D6	NB	202978.41	7322599.19	256	17	0	0	0	7	5	NA	4	1	0	0	2	4	3.9	3.85	29.5	6	0.65	1.75	10	3.5	14.5	76	15.9	91.9	16	51.5	17.5	21	12	10.5	3	64	11	25	8	1.13	0.14	0.56	1.37	0.09	1.1	0.03
57	M	D7	NB	202988.62	7322591.57	61	16	4	0	0	34	8	NA	19	4	0	0	3	3.9	3.8	3.8	35.5	5.5	0.85	2.4	7.5	6.5	13.5	63	17.25	80.25	21.5	44	18.5	18	9	7.5	2	55	7	38	17	1.13	0.18	0.54	0.98	0.18	1.21	0.04
58	M	A10	NB	203017.28	7322678.74	761	17	1	0	0	5	3	NA	5	1	0	0	5	3.7	3.8	3.65	26.5	10	0.25	1.4	1.5	1.5	21.5	81	4.65	85.65	5.5	83	17.5	16.5	10.5	10	2.5	57	14	29	2	1.13	0.14	0.56	1.15	0.11	1.13	0.03
59	M	B10	NB	203024.12	7322675.74	40	15	1	0	0	6	5	NA	4	0	1	0	4	3.7	3.65	3.6	31.5	5.5	0.35	1.5	2.5	2	24.5	90.5	6.35	96.85	6.5	80.5	16	15	10.5	10.5	3.5	55.5	16	28.5	4	1.13	0.13	0.57	1.09	0.11	1.13	0.03
60	M	C10	NB	203034.57	7322656.7	36	9	8	0	0	10	4	NA	8	5	0	0	5	3.95	3.85	3.7	43	7.5	0.75	2.25	2.5	4.5	24	94	10	104	9	73	16	13	7.5	8	2	46.5	12	41.5	1	1.13	0.18	0.56	0.76	0.19	1.24	0.05
61	M	A4	NB	202911.03	7322616.55	197	13	2	0	0	2	2	NA	1	0	0	0	6	3.95	3.8	3.75	45.5	12	0.85	2.3	12	5.5	18	87.5	20.65	108.15	16.5	54.5	15.5	16.5	8.5	10.5	3	54	14.5	31.5	5.5	1.13	0.14	0.57	0.91	0.14	1.16	0.04
62	M	C2	NB	202889.96	7322572.52	45	16	4	0	0	11	7	NA	8	2	0	0	5	4.05	3.9	3.95	40	7.5	0.45	3.35	11	5	15	72.5	19.8	92.3	18.5	50.5	16.5	15	9.5	11	4	56	16	28	2	1.13	0.13	0.57	0.99	0.12	1.14	0.03
63	M	H4	NB	202978.17	7322493.2	23	13	2	0	0	5	5	NA	5	1	0	0	2	3.95	3.85	3.85	34.5	3	0.9	1.9	3	2	14.5	75.5	7.8	83.3	9	67.5	15	20.5	13	14.5	2.5	65.5	11	23.5	3	1.13	0.13	0.56	1.24	0.1	1.11	0.03
64	M	J3	NB	202986.02	7322465.7	127	20	7	0	0	8	4	NA	4	1	0	0	3	4.05	3.75	3.85	57.5	12.5	0.5	1.8	36	6	11	115.5	44.3	159.8	28	19	12	20.5	12.5	12.5	3.5	61	12.5	26.5	13	1.13	0.14	0.57	1.08	0.11	1.13	0.03
65	M	J4	NB	203004.37	7322464.51	88	20	18	0	0	14	7	NA	9	0	0	0	3	4.5	4	4	38	3.5	0.8	2.45	6	6.5	12.5	70.5	15.75	86.25	16	51.5	11.5	16.5	7.5	9.5	2	47	14.5	38.5	1	1.28	0.15	0.51	0.53	0.22	1.29	0.04
66	M	K7	NB	203060.84	7322491.14	61	8	6	0	1	3	2	NA	2	2	0	0	2	3.8	3.55	3.5	42.5	15.5	1	3.7	8	5.5	26	125.5	18.2	143.7	11.5	63	15	18	8	11.5	2.5	55	19	26	0	1.28	0.1	0.53	0.68	0.16	1.19	0.04
67	M	J6	NB	203039.2	7322496.41	49	13	4	0	0	10	7	NA	10	4	0	0	4	4	3.9	3.8	46	6	1.55	2.25	4.5	4	19	82.5	12.3	94.8	12.5	61.5	11	15	9	10	3	48	15	37	2	0.99	0.16	0.62	1.02	0.12	1.14	0.05
68	M	E2	NB	202922.8	7322530.32	65	12	3	0	0	3	3	NA	3	0	0	0	2	3.7	3.7	3.6	31	22	2	4.5	14	9	26	96	29.5	125.5	24	47	12	19	13	13	3	60	13	27	8	0.99	0.14	0.62	1.4	0.07	1.07	0.03
69	M	F4	NB	202963.08	7322527.66	62	14	3	0	0	12	8	NA	9	2	0	0	2	3.85	3.75	3.65	39.5	10	0.9	2.2	9	5	23	87	17.1	104.1	14.5	63	19	16	10	8	2.5	55.5	12.5	32	7	1.13	0.15	0.56	1.03	0.13	1.16	0.04
70	M	H4	NB	202972.31	7322503.68	69	18	1	1	0	5	5	NA	5	1	0	0	2	3.6	3.7	3.6	53.5	17	0.9	2.65	19	8.5	26.5	92.5	31.05	123.55	23.5	55	12	13	9.5	11	2.5	48	14	38	3	1.13	0.16	0.57	0.76	0.17	1.21	0.04
71	M	I5	NB	203009.45	7322497.49	20	8	1	0	0	10	7	NA	9	1	0	0	2	4.45	3.9	3.95	35.5	5.5	0.4	1.75	13.5	4.5	9.5	73	20.15	93.15	19.5	40	17	20	8.5	9.5	2.5	57.5	9.5	33	6	1.13	0.16	0.55	1.33	0.13	1.16	0.03
72	M	H6	NB	203013.52	7322531.96	24	8	13	0	0	26	2	NA	25	25	0	0	3	3.75	3.75	3.7	38.5	6.5	0.5	1.7	5	3.5	19	66	10.7	76.7	13	66	14	20	11	9	4	58	12	30	4	1.13	0.15	0.56	1.1	0.12	1.15	0.03
73	M	G6	NB	203004.84	7322532.21	29	10	4	0	0	4	2	NA	4	0	0	0	3	3.75	3.75	3.7	38.5	6.5	0.5	1.7	5	3.5	19	66	10.7	76.7	13	66	14	20	11	9	4	58	12	30	4	1.13	0.15	0.56	1.1	0.12	1.15	0.03
74	M	C4	NB	202924.64	7322584.93	57	9	4	0	0	3	3	NA	3	1	0	0	6	4.2	3.9	4	44.5	11.5	0.75	1.9	48.5	5.5	8	77	56.65	133.65	41	13.5	13	15.5	10	12	3.5	54	16.5	29.5	6	1.13	0.13	0.58	0.87	0.13	1.16	0.04
75	M	C5	NB	202938.94	7322597.43	4284	15	5	0	1	8	7	NA	8	1	0	0	9	4	3.9	3.85	40.5	7	0.85	2.5	5.5	4.5	20.5	86.5	13.35	99.85	12	64.5	20	13	8	9.5	3.5	54	13	33	1	1.13	0.15	0.56	0.99	0.14	1.17	0.04
76	M	B3	NB	202907.57	7322590.75	90	18	18	0	0	14	5	NA	10	2	0	0	9	4.3	4.1	4.2	41	25	1.4	6.1	86	18	4	88	111.5	199.5	56	3	7	9	12	14	4	46	26	28	6	0.99	0.09	0.65	0.83	0.11	1.12	0.05
77	M	D5	NB	202966.35	7322576.54	1589	8	1	0	0	16	8	NA	12	1	0	0	2	4	3.8	3.8	46	7.5	0.8	2	12.5	5	16.5	66	20.3	86.3	21	50.5	17	15.5	9	9	2.5	53	12	35	16	1.13	0.16	0.56	0.93	0.15	1.19	0.04
78	M	B4	NB	202915.77	7322608.9	2179	11	17	0	0	15	4	NA	13	12	0	0	8	3.95	3.8	3.75	45.5	12	0.85	2.3	12	5.5	18	87.5	20.65	108.15	16.5	54.5	15.5	16.5	8.5	10.5	3	54	14.5	31.5	5.5	1.13	0.14	0.57	0.91	0.14	1.16	0.04
79	M	D2	NB	202908.37	7322546.49	127	22	0	0	0	3	2	NA	1	0	0	0	1	3.95	3.8	3.85	34.5	11	1.4	3.95	17	10.5	17.5	73.5	32.85	106.35	30	35.5	17	16.5	9	9.5	3	55	13	32	7	1.13	0.15	0.56	0.99	0.14	1.16	0.04
80	M	E0	NB	202876.04	7322506.4	23	6	4	0	0	13	4	NA	10	8	0	0	3	3.9	3.8	3.8	55	6.5	1.1	3	3	3.5	25	97.5	10.6	108.1	9	73	15	14	10	10.5	3	52.5	12.5	35	3	1.13	0.16	0.56	0.87	0.15	1.19	0.04
