col_parc	period	plot	site	x	y	seeds	seedsp	euterpe	sloanea	virola	seedl	seedlsp	seedl_NI	seedlsurv	eut.seedl	slo.seedl	vir.seedl	nivel	pH_H2O	pH_KCl	pH_Cacl2	MO	P	Na	K	Ca	Mg	Al	H+Al	SB	T	Vpct	mpct	vcs	cs	ms	fs	vfs	sandpct	siltpct	claypct	natclay	dens_gcm3	phi_r	phi_s	alfa	m	n	S
1	D	C5	NB	202939.9	7322589.83	196	11	0	0	0	20	4	0	20	0	0	0	9	4	3.9	3.8	36.5	6.5	0.7	2.1	8	3	15.5	74	13.8	87.8	13.5	59.5	14.5	21	11.5	11	3.5	61.5	11.5	27	4	1.13	0.14	0.56	1.32	0.1	1.12	0.03
2	D	E5	NB	202975.38	7322563.59	2844	15	0	0	0	60	9	4	60	0	0	0	2	4.05	3.75	3.7	33.5	13.5	0.4	2.25	13.5	6	16	68	22.15	90.15	22.5	47.5	16	15	6.5	7	2	46.5	14.5	39	8	1.13	0.16	0.56	0.79	0.18	1.22	0.04
3	D	D7	NB	202988.62	7322591.57	648	12	0	0	0	148	10	6	140	4	0	0	3	3.9	3.8	3.8	35.5	5.5	0.9	2.4	7.5	6.5	13.5	63	17.25	80.25	21.5	44	18.5	18	9	7.5	2	55	7	38	17	1.13	0.18	0.54	0.98	0.18	1.21	0.04
4	D	F9	B	203039.31	7322586.55	940	6	4	0	0	76	7	9	48	0	0	0	3	4.15	3.9	3.95	43.5	14	1.6	5.85	39	18	7.5	66	64.45	130.45	44	17.5	13.5	12	7.5	7	1.5	41.5	15.5	43	14.5	1.13	0.17	0.56	0.68	0.2	1.26	0.05
5	D	F9	B	203039.68	7322587.43	2300	9	4	0	0	40	6	2	24	4	0	0	3	4.15	3.9	3.95	43.5	14	1.6	5.85	39	18	7.5	66	64.45	130.45	44	17.5	13.5	12	7.5	7	1.5	41.5	15.5	43	14.5	1.13	0.17	0.56	0.68	0.2	1.26	0.05
6	D	G10 	B	203073.27	7322574.23	12252	3	0	0	0	40	5	3	40	12	0	0	3	3.5	3.5	3.4	33	17	1.4	5.3	11	9	26	106	26.7	132.7	20	49	8	14	12	8	1	43	11	46	4	0.99	0.19	0.6	0.9	0.18	1.22	0.05
7	D	G10	B	203073.73	7322581.4	708	5	0	0	0	44	8	3	28	4	0	0	3	3.85	3.65	3.65	44.5	15	1.4	7.9	17	13.5	21.5	97.5	39.75	137.25	25.5	43	17.5	15	8	6	1.5	48	9.5	42.5	10.5	1.13	0.19	0.54	0.79	0.2	1.25	0.05
8	D	H11	B	203091.37	7322565.54	304	4	0	0	0	36	4	3	20	12	0	0	2	3.95	3.7	3.65	38.5	9.5	0.7	5.6	10	12.5	18.5	90	28.8	118.8	21.5	46	18.5	17	8	5	1	49.5	12.5	38	6	1.13	0.16	0.55	0.9	0.17	1.21	0.04
9	D	H12 	B	203049.6	7322671.27	352	3	0	0	0	8	2	0	4	0	0	0	2	3.8	3.65	3.6	42	10	0.8	2.95	5	7	24.5	88	15.7	103.7	14	64	21	14	6.5	5.5	2.5	49.5	12.5	38	8.5	1.13	0.16	0.55	0.95	0.17	1.21	0.04
10	D	H12	B	203120.01	7322571	792	4	0	0	0	24	4	2	12	4	0	0	2	3.9	3.8	3.7	42.5	5	0.6	2.55	3.5	3.5	14.5	97.5	10.15	107.65	9	60.5	17	13.5	7	5.5	1.5	44.5	14.5	41	2	1.13	0.16	0.56	0.8	0.19	1.24	0.04
11	D	F12	B	203107.46	7322612.99	292	6	0	0	0	48	4	6	28	8	0	0	2	3.7	3.75	3.6	35.5	11.5	0.8	2.8	5	4	26	75.5	12.6	88.1	14.5	68.5	18.5	16	6.5	5.5	2	48.5	10.5	41	3	1.13	0.18	0.55	0.83	0.19	1.24	0.05
12	D	G11	B	203097.39	7322586.28	516	5	0	0	0	36	7	2	32	0	0	0	3	3.95	3.7	3.65	38.5	9.5	0.7	5.6	10	12.5	18.5	90	28.8	118.8	21.5	46	18.5	17	8	5	1	49.5	12.5	38	6	1.13	0.16	0.55	0.9	0.17	1.21	0.04
13	D	G11 	B	203082.93	7322598.75	3216	10	0	0	0	32	3	3	20	0	0	0	3	3.8	3.65	3.65	34.5	10.5	0.8	2.4	12	6.5	21.5	85.5	21.7	107.2	18	55.5	16.5	12.5	7.5	6	1	43.5	12.5	44	5.5	1.13	0.18	0.55	0.7	0.21	1.27	0.05
14	D	F10	B	203059.93	7322596.32	1136	5	0	0	0	20	2	2	16	0	0	0	3	3.75	3.65	3.55	43.5	11.5	1.1	2.5	4.5	6	23.5	80	14.1	94.1	14	64.5	17	11	6	5	2	41	16	43	6	1.13	0.16	0.56	0.69	0.2	1.26	0.05
15	D	F10	B	203061.91	7322601.95	872	4	0	0	4	36	4	4	24	4	0	0	3	3.75	3.65	3.55	43.5	11.5	1.1	2.5	4.5	6	23.5	80	14.1	94.1	14	64.5	17	11	6	5	2	41	16	43	6	1.13	0.16	0.56	0.69	0.2	1.26	0.05
16	D	E12	B	203055.27	7322678.9	76	9	0	0	0	72	5	5	48	0	0	0	1	3.8	3.65	3.6	42	10	0.8	2.95	5	7	24.5	88	15.7	103.7	14	64	21	14	6.5	5.5	2.5	49.5	12.5	38	8.5	1.13	0.16	0.55	0.95	0.17	1.21	0.04
17	D	E14	B	203116.12	7322658.99	328	7	0	0	0	48	4	6	20	8	0	0	3	3.65	3.6	3.5	53.5	10	0.7	2.5	7.5	4.5	22	69	15.15	84.15	17	60.5	25	17.5	6.5	5.5	1.5	56	10	34	7	1.13	0.16	0.54	1.15	0.14	1.17	0.04
18	D	E15	B	203134.23	7322672.73	512	9	4	0	0	80	6	9	52	4	0	0	3	3.85	3.65	3.65	38	15	1	3.7	25	8.5	16	88	38.15	126.15	26	39.5	20.5	13.5	5.5	5.5	2	47	13.5	39.5	5	1.13	0.16	0.55	0.84	0.18	1.23	0.04
19	D	D14	B	203119.99	7322674.06	9444	9	0	0	0	48	5	4	36	12	0	0	2	3.85	3.65	3.65	38	15	1	3.7	25	8.5	16	88	38.15	126.15	26	39.5	20.5	13.5	5.5	5.5	2	47	13.5	39.5	5	1.13	0.16	0.55	0.84	0.18	1.23	0.04
20	D	C12	NB	203070.92	7322671.17	116	8	0	0	0	56	8	4	44	4	0	0	3	3.8	3.65	3.6	42	10	0.8	2.95	5	7	24.5	88	15.7	103.7	14	64	21	14	6.5	5.5	2.5	49.5	12.5	38	8.5	1.13	0.16	0.55	0.95	0.17	1.21	0.04
21	D	C15	B	203118.78	7322701.02	88	3	0	0	0	132	6	5	64	8	0	0	3	3.9	3.7	3.7	36	18	1.1	3.8	15.5	12.5	24.5	119	32.9	151.9	18.5	51.5	14	14.5	7.5	6.5	2.5	45	13	42	7.5	1.13	0.17	0.56	0.79	0.19	1.25	0.05
22	D	C10	NB	203036.57	7322664.22	276	14	0	12	0	52	8	3	52	0	0	0	5	3.95	3.85	3.7	43	7.5	0.8	2.25	2.5	4.5	24	94	10	104	9	73	16	13	7.5	8	2	46.5	12	41.5	1	1.13	0.18	0.56	0.76	0.19	1.24	0.05
23	D	B10	NB	203024.12	7322675.74	388	7	0	0	0	44	5	3	32	0	0	0	4	3.7	3.65	3.6	31.5	5.5	0.4	1.5	2.5	2	24.5	90.5	6.35	96.85	6.5	80.5	16	15	10.5	10.5	3.5	55.5	16	28.5	4	1.13	0.13	0.57	1.09	0.11	1.13	0.03
24	D	A10	NB	203005.02	7322680.67	2868	12	0	4	0	44	4	4	40	0	0	0	5	3.9	3.65	3.6	35	13.5	0.5	1.75	3.5	2	23.5	90	7.75	97.75	7.5	76.5	22	21	10	10	3	66	11	23	3	1.13	0.13	0.56	1.67	0.07	1.08	NA
25	D	A7	NB	202959.41	7322662.95	168	11	0	0	0	72	5	2	48	0	0	0	8	3.8	3.75	3.6	40.5	11.5	0.7	1.65	6	1.5	20.5	90	9.85	99.85	9.5	69	20.5	17	7	9	3	56.5	14	29.5	2	1.13	0.14	0.56	1.07	0.12	1.14	0.03
26	D	A6	NB	202949	7322651.17	128	5	0	0	0	16	4	0	12	0	0	0	9	4	3.8	3.75	48	9.5	0.7	2.55	10.5	4	18.5	93	17.7	110.7	14.5	57	17	16.5	8	9.5	3	54	13.5	32.5	4.5	1.13	0.15	0.56	0.98	0.14	1.16	0.04
27	D	B6	NB	202947.02	7322632.21	1300	13	0	12	0	56	6	4	52	4	0	0	7	3.85	3.85	3.7	42	8	0.4	1.85	4.5	2.5	22	90	9.2	99.2	8	74	14.5	18	9	11.5	3.5	56.5	13	30.5	3	1.13	0.14	0.57	0.96	0.13	1.16	0.04
28	D	C7	NB	202968.49	7322619.48	496	12	0	0	0	4	1	0	4	0	0	0	3	3.85	3.8	3.75	44	12.5	0.6	1.9	6	2.5	24	86.5	10.95	97.45	10	72.5	17	15.5	10	12	4	58.5	16.5	25	1	1.13	0.12	0.58	1.02	0.1	1.12	0.03
29	D	D2	NB	202914.95	7322549.53	228	14	0	84	4	140	6	3	96	4	28	0	1	3.75	3.9	3.8	52.5	11.5	0.6	1.8	6	4	17.5	72	12.4	84.4	13.5	62	23.5	23	10.5	8.5	3.5	69	10	21	7	1.13	0.13	0.55	1.93	0.05	1.05	NA
30	D	D0	NB	202883.35	7322532.2	376	18	0	0	0	28	4	1	20	0	0	0	4	3.95	3.7	3.7	25.5	15.5	0.9	2.35	2.5	4.5	29.5	113	10.2	123.2	11	68.5	9.5	12.5	10	13.5	3.5	49	13.5	37.5	3	1.13	0.16	0.57	0.75	0.16	1.2	0.04
31	D	E0	NB	202874.84	7322515.73	308	12	0	8	0	48	5	2	36	0	0	0	3	3.9	3.8	3.8	55	6.5	1.1	3	3	3.5	25	97.5	10.6	108.1	9	73	15	14	10	10.5	3	52.5	12.5	35	3	1.13	0.16	0.56	0.87	0.15	1.19	0.04
32	D	C0	NB	202859.23	7322534.8	456	16	4	40	0	40	5	2	40	0	0	0	5	3.9	3.85	3.8	31.5	7.5	0.7	2.2	12	5.5	27.5	98	20.35	118.35	15.5	61.5	11	13	9.5	9	2	44.5	19	36.5	4.5	1.13	0.13	0.57	0.7	0.17	1.21	0.05
33	D	E0	NB	202876.07	7322506.4	176	10	0	0	0	24	4	1	24	0	0	0	3	3.9	3.8	3.8	55	6.5	1.1	3	3	3.5	25	97.5	10.6	108.1	9	73	15	14	10	10.5	3	52.5	12.5	35	3	1.13	0.16	0.56	0.87	0.15	1.19	0.04
34	D	C0	NB	202866.9	7322554.03	2972	11	0	4	0	20	4	1	12	4	0	0	5	5	4.15	4.35	19.5	8	0.5	2.1	9.5	2.5	2.5	36	14.6	50.6	28	17	13	22	18	15	4.5	72.5	15.5	12	5	1.13	0.08	0.58	1.49	0.04	1.04	0.01
35	D	F1	B	202905.79	7322502.41	892	11	0	0	4	36	6	1	32	4	0	0	3	3.8	3.75	3.7	56.5	9.5	1.2	2.8	8	4	26	86.5	15.95	102.45	15	64	18	14.5	8	9.5	3.5	53.5	8.5	38	6	1.13	0.18	0.55	0.94	0.17	1.21	0.04
