col_parc	period	plot	site	x	y	seeds	seedsp	euterpe	sloanea	virola	seedl	seedlsp	seedl_NI	seedlsurv	eut.seedl	slo.seedl	vir.seedl	nivel	photo	vissky	isf	isfu	dsf	dsfu	gsf	gsfu	difbe	difbeu	dirbe	dirbeu	totbe	totbeu	lai	eladp	mla	gndcover	laidev	pH_H2O	pH_KCl	pH_Cacl2	MO	P	Na	K	Ca	Mg	Al	H+Al	SB	T	Vpct	mpct	vcs	cs	ms	fs	vfs	sandpct	siltpct	claypct	natclay	dens_gcm3	phi_r	phi_s	alfa	m	n	S
45	D	N6	NB	203076.25	7322429.07	720	13	4	0	4	40	6	3	32	8	0	0	2	DSCN7561	0.051	0.077	0.061	0.092	0.083	0.083	0.069	442	604	393	486	835	1090	3.054	2.196	35	0.899	2.4478	4.65	3.95	4.000	43.5	8.0	1.3	2.80	31.5	9.0	9.5	86.0	44.55	130.55	33.0	20.5	9.0	13.5	9.5	11.5	2.0	45.5	18.5	36.0	11.0	1.13	0.14	0.58	0.69	0.17	1.21	0.05
46	D	N5 	B	203058.47	7322415.76	3556	12	0	4	0	56	3	4	32	28	0	0	2	DSCN7562	0.054	0.074	0.063	0.107	0.106	0.088	0.079	430	623	458	625	888	1247	2.820	3.407	25	0.910	2.0197	3.75	3.45	3.450	51.0	10.0	1.6	7.95	9.5	10.5	22.5	125.5	29.55	155.05	19.0	44.0	13.0	18.0	9.0	8.5	2.5	51.0	12.5	36.5	8.0	1.13	0.16	0.56	0.86	0.16	1.20	0.04
47	D	M4	B	203044.55	7322413.08	2772	13	28	0	16	76	4	8	20	24	0	4	3	DSCN7563	0.054	0.097	0.070	0.114	0.102	0.104	0.082	561	689	488	599	1049	1288	4.687	0.454	73	0.717	2.8240	3.75	3.45	3.450	51.0	10.0	1.6	7.95	9.5	10.5	22.5	125.5	29.55	155.05	19.0	44.0	13.0	18.0	9.0	8.5	2.5	51.0	12.5	36.5	8.0	1.13	0.16	0.56	0.86	0.16	1.20	0.04
48	D	O4	B	203056.24	7322389.55	2284	6	4	0	0	24	3	1	24	0	0	0	3	DSCN7564_2	0.069	0.086	0.077	0.112	0.120	0.097	0.093	496	762	482	704	978	1465	2.563	3.970	22	0.895	2.3617	3.95	3.75	3.650	40.5	8.0	0.8	3.30	6.0	4.5	15.5	84.5	14.55	99.05	14.0	54.0	14.0	15.5	11.5	10.5	3.5	55.0	13.0	32.0	6.0	1.13	0.15	0.56	0.96	0.14	1.16	0.04
49	D	O4	B	203057.28	7322386.19	128	3	0	0	0	60	3	8	40	0	0	0	3	DSCN7565	0.068	0.107	0.083	0.106	0.091	0.106	0.086	618	819	454	532	1072	1351	5.403	0.304	79	0.636	3.5040	3.95	3.75	3.650	40.5	8.0	0.8	3.30	6.0	4.5	15.5	84.5	14.55	99.05	14.0	54.0	14.0	15.5	11.5	10.5	3.5	55.0	13.0	32.0	6.0	1.13	0.15	0.56	0.96	0.14	1.16	0.04
50	D	O5	B	203064.05	7322389.11	664	5	0	0	0	72	6	9	48	4	0	0	1	DSCN7566	0.091	0.170	0.119	0.158	0.127	0.165	0.122	981	1179	677	746	1658	1925	3.665	0.294	79	0.484	2.4612	3.95	3.75	3.650	40.5	8.0	0.8	3.30	6.0	4.5	15.5	84.5	14.55	99.05	14.0	54.0	14.0	15.5	11.5	10.5	3.5	55.0	13.0	32.0	6.0	1.13	0.15	0.56	0.96	0.14	1.16	0.04
51	D	P5	B	203073.97	7322369.4	440	8	4	0	0	76	5	12	52	8	0	0	2	DSCN7567	0.092	0.177	0.122	0.295	0.249	0.227	0.169	1022	1208	1269	1463	2291	2671	3.273	0.392	75	0.538	3.3140	4.35	4.00	4.000	49.5	5.0	0.9	3.80	8.5	5.5	10.5	65.0	18.70	83.70	22.5	38.5	8.0	17.0	12.5	10.5	3.0	51.0	13.0	36.0	9.0	1.13	0.16	0.57	0.87	0.16	1.19	0.04
52	D	O6 	B	203080.25	7322406.96	12216	7	0	0	0	72	4	8	68	20	0	0	2	DSCN7568	0.066	0.090	0.076	0.043	0.043	0.070	0.064	520	751	187	252	707	1003	2.626	3.480	24	0.895	1.8588	3.95	3.75	3.700	44.5	9.0	1.0	4.20	14.5	9.0	13.5	87.0	28.65	115.65	22.0	38.5	10.0	15.0	10.5	10.0	3.0	48.5	16.5	35.0	4.0	1.13	0.14	0.57	0.77	0.16	1.19	0.04
53	D	O6 	B	203091.91	7322393.08	276	12	0	0	0	60	5	7	48	0	0	4	2	DSCN7569	0.078	0.119	0.094	0.133	0.127	0.125	0.106	686	933	570	745	1256	1678	2.581	1.871	40	0.838	2.4182	4.15	3.80	3.800	36.0	8.5	0.7	4.50	6.0	5.5	14.0	71.0	16.70	87.70	19.0	46.5	8.5	15.0	13.0	11.0	4.0	51.5	16.5	32.0	7.0	1.13	0.13	0.57	0.81	0.14	1.17	0.04
54	D	I7	NB	203041.88	7322506.67	468	9	0	0	0	56	5	7	56	4	0	0	8	DSCN7571	0.058	0.105	0.075	0.103	0.092	0.104	0.081	607	744	444	538	1051	1282	4.425	0.465	73	0.703	2.3931	4.00	3.90	3.800	46.0	6.0	1.6	2.25	4.5	4.0	19.0	82.5	12.30	94.80	12.5	61.5	11.0	15.0	9.0	10.0	3.0	48.0	15.0	37.0	2.0	0.99	0.16	0.62	1.02	0.12	1.14	0.05
55	D	I5	NB	203007.64	7322503.99	140	6	0	0	0	28	4	1	24	0	0	0	2	DSCN7539	0.057	0.101	0.073	0.136	0.114	0.116	0.088	585	719	583	671	1168	1390	3.985	0.641	67	0.762	2.2096	4.45	3.90	3.950	35.5	5.5	0.4	1.75	13.5	4.5	9.5	73.0	20.15	93.15	19.5	40.0	17.0	20.0	8.5	9.5	2.5	57.5	9.5	33.0	6.0	1.13	0.16	0.55	1.33	0.13	1.16	0.03
56	D	I3	NB	202974.68	7322484.67	324	8	0	0	0	64	7	1	60	24	4	0	3	DSCN7575	0.065	0.121	0.085	0.182	0.154	0.147	0.111	700	843	781	902	1480	1746	4.200	0.418	74	0.650	2.5760	3.95	3.85	3.850	34.5	3.0	0.9	1.90	3.0	2.0	14.5	75.5	7.80	83.30	9.0	67.5	15.0	20.5	13.0	14.5	2.5	65.5	11.0	23.5	3.0	1.13	0.13	0.56	1.24	0.10	1.11	0.03
57	D	H3	NB	202960.24	7322492.8	256	13	8	0	0	68	2	5	32	0	0	0	2	DSCN7576	0.040	0.069	0.051	0.071	0.063	0.070	0.055	400	501	306	370	706	871	11	0.001	90	0.007	8.9162	3.70	3.80	3.700	30.5	7.5	0.5	1.35	5.5	3.5	22.0	73.0	10.85	83.85	12.0	69.0	19.0	14.5	9.0	9.5	3.5	55.5	11.0	33.5	4.0	1.13	0.16	0.56	0.95	0.15	1.17	0.04
58	D	F4	NB	202966.57	7322530.59	316	15	0	0	0	104	7	15	88	4	0	0	2	DSCN7577	0.058	0.095	0.072	0.119	0.104	0.105	0.084	550	713	512	612	1062	1326	3.05	1.5	46	0.86	1.7750	3.85	3.75	3.650	39.5	10.0	0.9	2.20	9.0	5.0	23.0	87.0	17.10	104.10	14.5	63.0	19.0	16.0	10.0	8.0	2.5	55.5	12.5	32.0	7.0	1.13	0.15	0.56	1.03	0.13	1.16	0.04
59	D	G2	NB	202941.43	7322507.81	672	13	0	0	0	36	3	2	28	8	0	0	3	DSCN7578	0.047	0.078	0.058	0.099	0.086	0.087	0.069	448	576	426	506	874	1083	3.348	1.482	46	0.879	1.6132	3.80	3.60	3.550	51.0	25.0	1.2	4.60	18.0	12.0	29.5	132.5	35.75	168.25	19.0	50.5	12.0	13.0	11.0	10.0	3.0	49.0	16.5	34.5	5.5	1.13	0.14	0.57	0.78	0.16	1.19	0.04
60	D	F4	NB	202959.56	7322534.07	332	10	12	0	0	56	3	7	56	0	0	0	2	DSCN7579_2	0.062	0.110	0.079	0.057	0.050	0.087	0.068	634	783	244	295	878	1079	3.802	0.651	66	0.750	2.7743	3.95	3.75	3.700	47.5	8.5	0.8	1.95	7.5	5.0	24.5	78.0	15.20	93.20	14.5	64.5	19.0	20.0	9.5	9.5	3.5	61.5	10.0	28.5	7.0	1.13	0.15	0.55	1.20	0.12	1.14	0.03
61	D	E4	NB	202943.65	7322558.68	592	10	0	0	0	24	2	3	16	0	0	0	2	DSCN7580_2	0.058	0.085	0.069	0.090	0.085	0.087	0.075	491	682	387	496	879	1178	2.84	2.31	34	0.89	1.7740	3.85	3.85	3.850	37.5	6.0	0.4	1.75	3.0	2.0	21.0	70.5	7.15	77.65	8.5	76.5	16.5	18.5	9.5	9.5	3.0	57.0	12.0	31.0	4.0	1.13	0.15	0.56	1.03	0.13	1.15	0.04
