col_parc	period	plot	site	x	y	seeds	seedsp	euterpe	sloanea	virola	seedl	seedlsp	seedlsurv	eut.seedl	slo.seedl	vir.seedl	nivel	pH_H2O	pH_KCl	pH_Cacl2	MO	P	Na	K	Ca	Mg	Al	H+Al	SB	T	Vpct	mpct	vcs	cs	ms	fs	vfs	sandpct	siltpct	claypct	natclay	dens_gcm3	phi_r	phi_s	alfa	m	n	S
18	M	M5	B	203059.50	7322432.62	204	11	181	0	0	27	3	14	25	0	0	4	3.90	3.70	3.70	48.5	12.5	1.05	3.45	4.5	6.0	24.5	88.0	15.00	103.00	13.0	67.0	11.0	9.5	6.5	7.0	2.0	36.0	15.5	48.5	6.5	1.13	0.18	0.57	0.57	0.23	1.30	0.06
19	M	L5	B	203050.48	7322443.88	243	14	206	0	1	45	4	22	42	0	0	3	3.90	3.70	3.70	48.5	12.5	1.05	3.45	4.5	6.0	24.5	88.0	15.00	103.00	13.0	67.0	11.0	9.5	6.5	7.0	2.0	36.0	15.5	48.5	6.5	1.13	0.18	0.57	0.57	0.23	1.30	0.06
20	M	K5	B	203025.66	7322460.79	23	10	6	0	0	5	3	3	2	0	0	1	3.80	3.75	3.65	47.0	13.5	1.30	2.65	6.0	6.0	23.0	103.5	15.95	119.45	12.0	63.0	17.0	16.5	8.0	10.5	2.5	54.5	12.5	33.0	0.0	1.28	0.15	0.51	0.66	0.20	1.24	0.04
21	M	K5	B	203031.00	7322447.00	388	10	56	0	0	77	4	61	74	0	1	1	3.65	3.45	3.45	57.5	26.5	1.60	3.95	18.0	11.5	32.0	146.0	35.05	181.05	18.0	51.5	9.0	12.0	8.5	8.5	2.5	40.5	14.0	45.5	6.5	1.13	0.18	0.57	0.64	0.21	1.27	0.05
22	M	K5	B	203033.33	7322453.50	28	6	21	0	0	51	2	39	50	0	0	1	3.65	3.45	3.45	57.5	26.5	1.60	3.95	18.0	11.5	32.0	146.0	35.05	181.05	18.0	51.5	9.0	12.0	8.5	8.5	2.5	40.5	14.0	45.5	6.5	1.13	0.18	0.57	0.64	0.21	1.27	0.05
23	M	E6	B	202987.62	7322576.01	32	13	3	0	0	9	3	5	7	0	0	3	4.00	3.80	3.80	46.0	7.5	0.80	2.00	12.5	5.0	16.5	66.0	20.30	86.30	21.0	50.5	17.0	15.5	9.0	9.0	2.5	53.0	12.0	35.0	16.0	1.13	0.16	0.56	0.93	0.15	1.19	0.04
24	M	E8	B	203012.51	7322592.44	30	12	0	0	0	5	5	4	1	0	0	3	3.95	3.75	3.70	50.0	8.5	1.35	2.85	13.5	7.5	13.0	58.5	25.20	83.70	26.0	44.0	23.0	14.5	6.5	6.5	1.5	52.0	11.0	37.0	14.0	1.13	0.17	0.55	0.99	0.16	1.20	0.04
25	M	E9	B	203032.21	7322604.79	61	13	2	0	1	5	5	2	1	0	0	4	3.65	3.65	3.55	49.5	5.5	0.85	2.35	8.0	6.5	23.5	75.0	17.70	92.70	17.5	60.0	21.0	13.5	6.0	6.0	1.5	48.0	7.5	44.5	10.0	1.13	0.20	0.54	0.80	0.21	1.27	0.05
26	M	E7 	B	203000.11	7322584.14	143	12	10	0	0	8	3	6	6	0	0	2	3.90	3.80	3.80	35.5	5.5	0.85	2.40	7.5	6.5	13.5	63.0	17.25	80.25	21.5	44.0	18.5	18.0	9.0	7.5	2.0	55.0	7.0	38.0	17.0	1.13	0.18	0.54	0.98	0.18	1.21	0.04
27	M	D9	B	203023.48	7322628.63	23	6	15	1	0	11	5	10	7	0	0	4	3.85	3.75	3.65	31.5	11.5	1.20	2.35	2.0	5.5	27.0	97.5	11.05	108.55	9.5	72.5	14.0	12.5	9.5	8.5	3.0	47.5	6.5	46.0	6.5	1.13	0.20	0.55	0.75	0.21	1.26	0.04
28	M	E9	B	203045.17	7322600.25	44	10	16	0	0	33	5	18	28	0	0	4	3.75	3.65	3.55	43.5	11.5	1.10	2.50	4.5	6.0	23.5	80.0	14.10	94.10	14.0	64.5	17.0	11.0	6.0	5.0	2.0	41.0	16.0	43.0	6.0	1.13	0.16	0.56	0.69	0.20	1.26	0.05
29	M	F9	B	203053.48	7322584.95	10	5	1	0	0	7	2	0	1	0	0	4	3.85	3.65	3.65	44.5	15.0	1.35	7.90	17.0	13.5	21.5	97.5	39.75	137.25	25.5	43.0	17.5	15.0	8.0	6.0	1.5	48.0	9.5	42.5	10.5	1.13	0.19	0.54	0.79	0.20	1.25	0.05
30	M	H9	B	203063.46	7322575.20	50	10	17	0	1	18	7	17	8	0	0	3	3.85	3.65	3.65	44.5	15.0	1.35	7.90	17.0	13.5	21.5	97.5	39.75	137.25	25.5	43.0	17.5	15.0	8.0	6.0	1.5	48.0	9.5	42.5	10.5	1.13	0.19	0.54	0.79	0.20	1.25	0.05
31	M	G9	B	203055.54	7322567.03	335	7	3	0	3	7	6	5	0	0	0	2	4.05	3.70	3.75	51.0	25.5	1.50	2.35	45.0	14.5	17.5	125.0	63.35	188.35	31.5	25.5	16.0	15.0	9.0	5.5	2.0	47.5	15.5	37.0	10.5	1.13	0.15	0.56	0.84	0.17	1.21	0.04
32	M	H10	B	203076.67	7322561.45	59	15	6	0	0	8	3	8	5	0	0	1	3.50	3.50	3.40	33.0	17.0	1.40	5.30	11.0	9.0	26.0	106.0	26.70	132.70	20.0	49.0	8.0	14.0	12.0	8.0	1.0	43.0	11.0	46.0	4.0	0.99	0.19	0.60	0.90	0.18	1.22	0.05
33	M	H9 	B	203056.44	7322557.99	8	7	0	0	0	8	6	5	2	0	0	3	3.65	3.60	3.55	41.0	10.5	0.95	2.95	14.5	8.5	26.5	89.5	26.90	116.40	21.0	55.0	14.0	13.0	6.5	5.0	2.0	40.5	12.5	47.0	3.0	1.13	0.19	0.55	0.66	0.22	1.29	0.05
