col_parc	period	plot	site	x	y	seeds	seedsp	euterpe	sloanea	virola	seedl	seedlsp	seedl_NI	seedlsurv	eut.seedl	slo.seedl	vir.seedl	nivel	pH_H2O	pH_KCl	pH_Cacl2	MO	P	Na	K	Ca	Mg	Al	H+Al	SB	T	Vpct	mpct	vcs	cs	ms	fs	vfs	sandpct	siltpct	claypct	natclay	dens_gcm3	phi_r	phi_s	alfa	m	n	S
1	D	C5	NB	202939.9	7322589.83	50	10	0	0	0	5	4	0	5	0	0	0	9	4	3.9	3.8	36.5	6.5	0.7	2.1	8	3	15.5	74	13.8	87.8	13.5	59.5	14.5	21	11.5	11	3.5	61.5	11.5	27	4	1.13	0.14	0.56	1.32	0.1	1.12	0.03
2	D	E5	NB	202975.38	7322563.59	422	14	0	0	0	15	9	4	15	0	0	0	2	4.05	3.75	3.7	33.5	13.5	0.4	2.25	13.5	6	16	68	22.15	90.15	22.5	47.5	16	15	6.5	7	2	46.5	14.5	39	8	1.13	0.16	0.56	0.79	0.18	1.22	0.04
3	D	D7	NB	202988.62	7322591.57	171	13	0	0	0	37	10	6	35	1	0	0	3	3.9	3.8	3.8	35.5	5.5	0.9	2.4	7.5	6.5	13.5	63	17.25	80.25	21.5	44	18.5	18	9	7.5	2	55	7	38	17	1.13	0.18	0.54	0.98	0.18	1.21	0.04
4	D	F9	B	203039.31	7322586.55	236	6	1	0	0	19	7	9	12	0	0	0	3	4.15	3.9	3.95	43.5	14	1.6	5.85	39	18	7.5	66	64.45	130.45	44	17.5	13.5	12	7.5	7	1.5	41.5	15.5	43	14.5	1.13	0.17	0.56	0.68	0.2	1.26	0.05
5	D	F9	B	203039.68	7322587.43	576	9	1	0	0	10	6	2	6	1	0	0	3	4.15	3.9	3.95	43.5	14	1.6	5.85	39	18	7.5	66	64.45	130.45	44	17.5	13.5	12	7.5	7	1.5	41.5	15.5	43	14.5	1.13	0.17	0.56	0.68	0.2	1.26	0.05
6	D	G10 	B	203073.27	7322574.23	3097	4	0	0	0	10	5	3	10	3	0	0	3	3.5	3.5	3.4	33	17	1.4	5.3	11	9	26	106	26.7	132.7	20	49	8	14	12	8	1	43	11	46	4	0.99	0.19	0.6	0.9	0.18	1.22	0.05
7	D	G10	B	203073.73	7322581.4	178	5	0	0	0	11	8	3	7	1	0	0	3	3.85	3.65	3.65	44.5	15	1.4	7.9	17	13.5	21.5	97.5	39.75	137.25	25.5	43	17.5	15	8	6	1.5	48	9.5	42.5	10.5	1.13	0.19	0.54	0.79	0.2	1.25	0.05
8	D	H11	B	203091.37	7322565.54	77	4	0	0	0	9	4	3	5	3	0	0	2	3.95	3.7	3.65	38.5	9.5	0.7	5.6	10	12.5	18.5	90	28.8	118.8	21.5	46	18.5	17	8	5	1	49.5	12.5	38	6	1.13	0.16	0.55	0.9	0.17	1.21	0.04
9	D	H12 	B	203049.6	7322671.27	88	3	0	0	0	2	2	0	1	0	0	0	2	3.8	3.65	3.6	42	10	0.8	2.95	5	7	24.5	88	15.7	103.7	14	64	21	14	6.5	5.5	2.5	49.5	12.5	38	8.5	1.13	0.16	0.55	0.95	0.17	1.21	0.04
10	D	H12	B	203120.01	7322571	199	5	0	0	0	6	4	2	3	1	0	0	2	3.9	3.8	3.7	42.5	5	0.6	2.55	3.5	3.5	14.5	97.5	10.15	107.65	9	60.5	17	13.5	7	5.5	1.5	44.5	14.5	41	2	1.13	0.16	0.56	0.8	0.19	1.24	0.04
11	D	F12	B	203107.46	7322612.99	72	5	0	0	0	12	4	6	7	2	0	0	2	3.7	3.75	3.6	35.5	11.5	0.8	2.8	5	4	26	75.5	12.6	88.1	14.5	68.5	18.5	16	6.5	5.5	2	48.5	10.5	41	3	1.13	0.18	0.55	0.83	0.19	1.24	0.05
12	D	G11	B	203097.39	7322586.28	129	5	0	0	0	9	7	2	8	0	0	0	3	3.95	3.7	3.65	38.5	9.5	0.7	5.6	10	12.5	18.5	90	28.8	118.8	21.5	46	18.5	17	8	5	1	49.5	12.5	38	6	1.13	0.16	0.55	0.9	0.17	1.21	0.04
13	D	G11 	B	203082.93	7322598.75	926	10	0	0	0	8	3	3	5	0	0	0	3	3.8	3.65	3.65	34.5	10.5	0.8	2.4	12	6.5	21.5	85.5	21.7	107.2	18	55.5	16.5	12.5	7.5	6	1	43.5	12.5	44	5.5	1.13	0.18	0.55	0.7	0.21	1.27	0.05
14	D	F10	B	203059.93	7322596.32	290	6	0	0	0	5	2	2	4	0	0	0	3	3.75	3.65	3.55	43.5	11.5	1.1	2.5	4.5	6	23.5	80	14.1	94.1	14	64.5	17	11	6	5	2	41	16	43	6	1.13	0.16	0.56	0.69	0.2	1.26	0.05
15	D	F10	B	203061.91	7322601.95	227	6	0	0	1	9	4	4	6	1	0	0	3	3.75	3.65	3.55	43.5	11.5	1.1	2.5	4.5	6	23.5	80	14.1	94.1	14	64.5	17	11	6	5	2	41	16	43	6	1.13	0.16	0.56	0.69	0.2	1.26	0.05
16	D	E12	B	203055.27	7322678.9	19	9	0	0	0	18	5	5	12	0	0	0	1	3.8	3.65	3.6	42	10	0.8	2.95	5	7	24.5	88	15.7	103.7	14	64	21	14	6.5	5.5	2.5	49.5	12.5	38	8.5	1.13	0.16	0.55	0.95	0.17	1.21	0.04
17	D	E14	B	203116.12	7322658.99	89	9	0	0	0	12	4	6	5	2	0	0	3	3.65	3.6	3.5	53.5	10	0.7	2.5	7.5	4.5	22	69	15.15	84.15	17	60.5	25	17.5	6.5	5.5	1.5	56	10	34	7	1.13	0.16	0.54	1.15	0.14	1.17	0.04
