block	mhab	sow	add	excl	germ	s.unk	s.path	sdl.unk	sdl.herb	sdl.drought	sdl.surv	pemerg	M1	M2	p1	p2	M3	M4	M5	psurv	p3	p4	p5	precr
K3	B	2	C	E	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K2-K3	B	2	C	E	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K6	B	2	C	E	2	0	0	0	0	0	2	1.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	1.00
M9	B	2	C	E	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
F1	B	6	A	E	5	1	0	2	3	0	0	0.83	0.17	0.00	0.83	1.00	0.33	0.50	0.00	0.00	0.67	0.50	1.00	0.00
G1	B	6	A	E	5	1	0	2	2	0	1	0.83	0.17	0.00	0.83	1.00	0.33	0.33	0.00	0.17	0.67	0.67	1.00	0.17
H2	B	6	A	E	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
E11	B	6	A	E	4	2	0	2	2	0	0	0.67	0.33	0.00	0.67	1.00	0.33	0.33	0.00	0.00	0.67	0.67	1.00	0.00
E14	B	6	A	E	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
D14	B	6	A	E	1	5	0	0	1	0	0	0.17	0.83	0.00	0.17	1.00	0.00	0.17	0.00	0.00	1.00	0.83	1.00	0.00
G10	B	6	A	E	6	0	0	5	1	0	0	1.00	0.00	0.00	1.00	1.00	0.83	0.17	0.00	0.00	0.17	0.83	1.00	0.00
H9	B	6	A	E	4	2	0	1	2	0	1	0.67	0.33	0.00	0.67	1.00	0.17	0.33	0.00	0.17	0.83	0.67	1.00	0.17
I11	B	6	A	E	6	0	0	1	2	0	3	1.00	0.00	0.00	1.00	1.00	0.17	0.33	0.00	0.50	0.83	0.67	1.00	0.50
I11	B	6	A	E	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K2	B	6	A	E	5	1	0	3	1	0	1	0.83	0.17	0.00	0.83	1.00	0.50	0.17	0.00	0.17	0.50	0.83	1.00	0.17
M2	B	6	A	E	6	0	0	0	5	0	1	1.00	0.00	0.00	1.00	1.00	0.00	0.83	0.00	0.17	1.00	0.17	1.00	0.17
N2	B	6	A	E	6	0	0	0	0	0	6	1.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	1.00
O2	B	6	A	E	0	3	3	0	0	0	0	0.00	0.50	0.50	0.50	0.50	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K3	B	6	A	E	3	3	0	0	2	0	1	0.50	0.50	0.00	0.50	1.00	0.00	0.33	0.00	0.17	1.00	0.67	1.00	0.17
K5	B	6	A	E	2	3	1	1	1	0	0	0.33	0.50	0.17	0.50	0.83	0.17	0.17	0.00	0.00	0.83	0.83	1.00	0.00
K3	B	6	A	E	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K2-K3	B	6	A	E	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K6	B	6	A	E	3	3	0	1	0	0	2	0.50	0.50	0.00	0.50	1.00	0.17	0.00	0.00	0.33	0.83	1.00	1.00	0.33
M9	B	6	A	E	1	5	0	0	1	0	0	0.17	0.83	0.00	0.17	1.00	0.00	0.17	0.00	0.00	1.00	0.83	1.00	0.00
